fecha;tendencia;precio_entrada;resultado;ganancia_usd
8/01/2025 11:10;bajista;103.112;TP;10.0
8/01/2025 11:50;alcista;102.933;SL;-10.0
8/01/2025 12:10;bajista;102.895;SL;-10.0
8/01/2025 12:35;alcista;102.954;SL;-10.0
8/01/2025 12:45;bajista;102.853;SL;-10.0
8/01/2025 13:10;alcista;102.886;TP;10.0
8/01/2025 14:15;bajista;102.967;SL;-10.0
8/01/2025 15:05;alcista;103.061;SL;-10.0
8/01/2025 15:25;bajista;10.301;sin resultado;0.0
8/01/2025 16:20;alcista;103.057;sin resultado;0.0
8/01/2025 17:10;bajista;10.304;sin resultado;0.0
8/01/2025 17:40;alcista;103.051;TP;10.0
8/01/2025 19:40;bajista;103.117;sin resultado;0.0
8/01/2025 20:15;alcista;103.128;sin resultado;0.0
8/01/2025 21:20;bajista;103.162;sin resultado;0.0
8/01/2025 21:55;alcista;103.182;sin resultado;0.0
8/01/2025 22:10;bajista;103.167;sin resultado;0.0
8/01/2025 22:20;alcista;103.175;sin resultado;0.0
8/01/2025 23:05;bajista;103.169;sin resultado;0.0
8/01/2025 23:35;alcista;103.159;SL;-10.0
8/01/2025 23:55;bajista;103.133;sin resultado;0.0
9/01/2025 0:55;alcista;103.131;sin resultado;0.0
9/01/2025 1:40;bajista;103.142;sin resultado;0.0
9/01/2025 2:05;alcista;103.162;sin resultado;0.0
9/01/2025 2:35;bajista;103.154;sin resultado;0.0
9/01/2025 3:00;alcista;103.169;sin resultado;0.0
9/01/2025 3:40;bajista;103.182;TP;10.0
9/01/2025 4:50;alcista;103.089;sin resultado;0.0
9/01/2025 5:40;bajista;103.083;TP;10.0
9/01/2025 6:30;alcista;103.041;sin resultado;0.0
9/01/2025 6:55;bajista;103.002;TP;10.0
9/01/2025 7:15;alcista;103.062;SL;-10.0
9/01/2025 7:30;bajista;102.972;TP;10.0
9/01/2025 8:15;alcista;102.973;TP;10.0
9/01/2025 9:45;bajista;103.054;sin resultado;0.0
9/01/2025 10:20;alcista;103.119;SL;-10.0
9/01/2025 10:40;bajista;103.024;sin resultado;0.0
9/01/2025 11:40;alcista;103.016;sin resultado;0.0
9/01/2025 12:35;bajista;102.993;SL;-10.0
9/01/2025 12:45;alcista;103.017;TP;10.0
9/01/2025 13:50;bajista;103.101;sin resultado;0.0
9/01/2025 14:50;alcista;103.096;SL;-10.0
9/01/2025 14:55;bajista;103.074;TP;10.0
9/01/2025 16:40;alcista;103.007;sin resultado;0.0
9/01/2025 17:15;bajista;102.974;sin resultado;0.0
9/01/2025 17:55;alcista;102.974;sin resultado;0.0
9/01/2025 19:10;bajista;102.991;sin resultado;0.0
9/01/2025 19:35;alcista;10.301;sin resultado;0.0
9/01/2025 19:55;bajista;102.981;sin resultado;0.0
9/01/2025 20:05;alcista;10.301;sin resultado;0.0
9/01/2025 20:55;bajista;103.012;sin resultado;0.0
9/01/2025 22:10;alcista;103.007;sin resultado;0.0
9/01/2025 22:25;bajista;102.978;sin resultado;0.0
9/01/2025 22:45;alcista;102.979;sin resultado;0.0
9/01/2025 23:15;bajista;102.989;sin resultado;0.0
10/01/2025 0:10;alcista;102.987;sin resultado;0.0
10/01/2025 0:15;bajista;102.948;sin resultado;0.0
10/01/2025 0:50;alcista;102.953;sin resultado;0.0
10/01/2025 2:05;bajista;102.999;sin resultado;0.0
10/01/2025 2:30;alcista;103.019;sin resultado;0.0
10/01/2025 2:35;bajista;102.995;sin resultado;0.0
10/01/2025 2:55;alcista;103.017;sin resultado;0.0
10/01/2025 3:25;bajista;103.004;sin resultado;0.0
10/01/2025 5:15;alcista;102.966;SL;-10.0
10/01/2025 5:30;bajista;102.917;sin resultado;0.0
10/01/2025 6:30;alcista;102.856;sin resultado;0.0
10/01/2025 6:45;bajista;102.822;SL;-10.0
10/01/2025 7:05;alcista;10.288;sin resultado;0.0
10/01/2025 9:00;bajista;102.997;sin resultado;0.0
10/01/2025 9:40;alcista;103.049;sin resultado;0.0
10/01/2025 9:55;bajista;102.999;sin resultado;0.0
10/01/2025 10:25;alcista;103.052;sin resultado;0.0
10/01/2025 10:45;bajista;103.037;sin resultado;0.0
10/01/2025 12:15;alcista;103.025;sin resultado;0.0
10/01/2025 12:50;bajista;103.044;TP;10.0
10/01/2025 13:00;alcista;103.074;SL;-10.0
10/01/2025 13:05;bajista;103.038;TP;10.0
10/01/2025 13:15;alcista;103.116;SL;-10.0
10/01/2025 13:30;bajista;102.241;SL;-10.0
10/01/2025 13:50;alcista;102.593;SL;-10.0
10/01/2025 14:50;bajista;102.489;TP;10.0
10/01/2025 15:15;alcista;102.653;TP;10.0
10/01/2025 15:40;bajista;102.555;TP;10.0
10/01/2025 17:05;alcista;102.434;sin resultado;0.0
10/01/2025 18:00;bajista;102.421;sin resultado;0.0
10/01/2025 18:40;alcista;102.411;sin resultado;0.0
10/01/2025 19:05;bajista;102.353;SL;-10.0
